trial_id,parent_trial_id,mutation,feature_view,transformation,scaler,algorithm,n_clusters,outlier_policy,status,rejection_reason,silhouette,calinski_harabasz,davies_bouldin,minimum_cluster_share,maximum_cluster_share,stability_ari_mean,stability_ari_sd,interpretability_score,differentiated_features,complexity_penalty,objective,runtime_seconds
1,,initial baseline,rfm,log1p,robust,kmeans,4,keep,valid,,0.3330121770061336,2650.1705791788945,1.0192470280517754,0.16642462968341562,0.34301481266337497,0.9406412060059511,0.021488815829006774,1.0,3,0.0033333333333333335,0.7827558685642934,0.6507669950005948
2,1.0,algorithm: kmeans -> agglomerative,rfm,log1p,robust,agglomerative,4,keep,valid,,0.25160716277642364,2208.2030132221835,1.2828179197375564,0.16642462968341562,0.36276503049665987,0.5000702773163459,0.05328384547796548,1.0,3,0.0033333333333333335,0.6519489403767551,0.8242178549990058
3,1.0,algorithm: kmeans -> gaussian_mixture,rfm,log1p,robust,gaussian_mixture,4,keep,valid,,0.17309201238588418,1802.5254756222682,1.6967105000241585,0.15045018878884694,0.34156259076386875,0.9039309774295184,0.0523063246231474,1.0,3,0.0033333333333333335,0.7233830022008303,0.3620851970008516
4,1.0,feature_view: rfm -> behavioral,behavioral,log1p,robust,kmeans,4,keep,rejected,cluster share below minimum,0.3098312453085069,2526.5952678103336,0.9681230411461661,0.019169329073482427,0.44089456869009586,0.9795816277775055,0.015431931828737122,1.0,6,0.0033333333333333335,-1.0,0.4552926180003851
5,1.0,feature_view: rfm -> compact,compact,log1p,robust,kmeans,4,keep,rejected,cluster share below minimum,0.3746412607615069,4063.860985772442,0.8563187048040718,0.019459773453383677,0.5219285506825443,0.9722652544407063,0.031879543335506605,1.0,5,0.0033333333333333335,-1.0,0.3949141019984381
6,1.0,n_clusters: 4 -> 3,rfm,log1p,robust,kmeans,3,keep,valid,,0.3390627808655754,2926.370118615404,1.0325680236393906,0.1739761835608481,0.4255010165553297,0.9258388106447257,0.04808755731311859,1.0,3,0.0016666666666666668,0.7865672862521728,0.43533472000126494
7,1.0,transformation: log1p -> yeo_johnson,rfm,yeo_johnson,robust,kmeans,4,keep,valid,,0.3304250474148381,2727.504979511576,1.0157311394055457,0.21173395294801045,0.29305837932036016,0.9271563905060193,0.01505193749054003,1.0,3,0.0033333333333333335,0.7963019488128107,0.5340142009990814
8,7.0,algorithm: kmeans -> agglomerative,rfm,yeo_johnson,robust,agglomerative,4,keep,valid,,0.2623519015078874,2245.736034439365,1.0955623191197907,0.14144641301190822,0.41533546325878595,0.39392489234612055,0.09848700476431561,1.0,3,0.0033333333333333335,0.6187022767429685,0.8518463680011337
9,7.0,algorithm: kmeans -> gaussian_mixture,rfm,yeo_johnson,robust,gaussian_mixture,4,keep,valid,,0.16667119715241707,1623.8322939734028,1.7934340044192596,0.19692128957304675,0.34185303514376997,0.9817550912265484,0.014841911383155168,1.0,3,0.0033333333333333335,0.7622623946316572,0.4254849850003666
10,7.0,feature_view: rfm -> behavioral,behavioral,yeo_johnson,robust,kmeans,4,keep,valid,,0.21653069365235234,1283.15831004586,1.4340533265976503,0.22364217252396165,0.28463549230322394,0.9619087116743437,0.015939857796816677,1.0,8,0.0033333333333333335,0.7680750644409494,0.6884495459999016
11,7.0,feature_view: rfm -> compact,compact,yeo_johnson,robust,kmeans,4,keep,valid,,0.29499791119408575,1849.6862366200182,1.1001736780352254,0.15829218704618064,0.3200697066511763,0.9412553258153956,0.033765537307858084,1.0,5,0.0033333333333333335,0.7658410648100844,0.5829749719996471
12,7.0,n_clusters: 4 -> 3,rfm,yeo_johnson,robust,kmeans,3,keep,valid,,0.31957334642289437,2885.151340192515,1.1044320906148581,0.2767934940458902,0.3941330235259948,0.9481342801360526,0.02181076848737525,1.0,3,0.0016666666666666668,0.8003368513520971,0.5951791650004452
13,7.0,scaler: robust -> standard,rfm,yeo_johnson,standard,kmeans,4,keep,valid,,0.33314568418462415,2872.2569299078095,1.018365426281802,0.2149288411269242,0.2933488237002614,0.9888225015411264,0.002512000871644323,1.0,3,0.0033333333333333335,0.8128372090323185,0.5500680479999573
14,13.0,algorithm: kmeans -> agglomerative,rfm,yeo_johnson,standard,agglomerative,4,keep,valid,,0.23965698711255573,2183.7206588477115,1.2213474668918394,0.15422596572756317,0.3488237002613999,0.6460327129325658,0.13316017482831607,1.0,3,0.0033333333333333335,0.6815927454180539,0.9503698619992065
