candidate,family,target_scale,folds,mae_mean,mae_std,rmse_mean,rmse_std,rmsle_mean,rmsle_std,r2_mean,r2_std,total_fit_seconds,warning_count
rf_raw_depth18_leaf1,Random Forest,raw,5,55.20044316888485,18.51277325439404,80.96034162216783,24.45574681382632,0.4604291922097417,0.15729127341206112,0.7384709499445101,0.20405777921534496,4.309001270999943,0.0
hgb_log_leaf15_lr005,HistGradientBoosting,log1p,5,60.11543243294035,17.713331335457777,86.50582229214254,24.73590648814248,0.4982711397522843,0.21285463897745718,0.6899468786949168,0.2506279256696128,2.733251053999993,0.0
seasonal_naive,Seasonal naive,raw,5,58.8552810246027,9.90256119073547,98.15494093781282,17.19525515860353,0.597726968887118,0.04587461514133619,0.6762780681426852,0.05483387734007843,0.0,0.0
elastic_log_a005_l10.5,Elastic Net,log1p,5,84.554152949344,16.357065622237332,123.82267357458458,27.21378930565757,0.670131890095302,0.16454735411163524,0.4703497747866927,0.2084791331969083,0.1770236450010998,0.0
ridge_log_a1,Ridge,log1p,5,87.0346423273309,20.520058878177906,128.0411782135118,33.70151835663749,0.6711467529644994,0.15379000590091513,0.45266795813882676,0.18110226560562132,0.015782972002853057,0.0
dummy_median,Dummy median,raw,5,153.92078105049083,49.13912899675319,205.7872144784843,62.96934341838891,1.390029058491498,0.06342883674334057,-0.34920748592422374,0.2056635646218202,0.0,0.0
dummy_mean,Dummy mean,raw,5,146.22320230020927,43.309773128709715,190.92504851731033,57.29983745425529,1.4058504993836105,0.09659950147965682,-0.16100960884407645,0.14068386388580906,0.0,0.0
